id,kind,role,description,size/ratio,style_ref,source
hero_waechter,3d_model,playable hero - melee tank badger warrior,stout anthropomorphic badger warrior in leather armor with round wooden shield and club,20000 tris a-pose,FORMULA,generate
hero_wildhueter,3d_model,playable hero - ranged fox ranger,lean anthropomorphic fox ranger in hooded cloak with small wooden bow,20000 tris a-pose,FORMULA,generate
enemy_pluenderer,3d_model,cpu enemy - basic melee grunt,scrawny goblin raider with rusty dagger and tattered cloth armor,8000 tris a-pose,FORMULA,generate
enemy_bogenschuetze,3d_model,cpu enemy - ranged grunt,small goblin archer with short bow and quiver,8000 tris a-pose,FORMULA,generate
enemy_hauptmann,3d_model,cpu enemy - elite final-wave boss,bulky orc captain in spiked armor with large jagged axe, larger and more imposing than the other enemies,12000 tris a-pose,FORMULA,generate
prop_rock,3d_model,board obstacle - blocks movement,chunky moss-covered boulder,2000 tris,FORMULA,generate
prop_tree,3d_model,board obstacle/decoration - blocks movement,small stylized toy-like tree with round leafy canopy,2000 tris,FORMULA,generate
tex_ground,texture,tileable hex-board ground surface,warm parchment-colored diorama grass with faint hex-grid seams,1024x1024,FORMULA,generate
card_move,ui,shared Move skill-card art (both heroes),curved footprint trail with a small arrow symbolizing movement,1:1,FORMULA,generate
card_attack_waechter,ui,Waechter Attack skill-card art,wooden club striking down with an impact burst,1:1,FORMULA,generate
card_special_waechter,ui,Waechter Special (Schildwall) skill-card art,round wooden shield glowing with a protective aura,1:1,FORMULA,generate
card_attack_wildhueter,ui,Wildhueter Attack skill-card art,wooden bow firing a single arrow at a target,1:1,FORMULA,generate
card_special_wildhueter,ui,Wildhueter Special (Fallenpfeil) skill-card art,small spiked trap glowing on the ground,1:1,FORMULA,generate
ui_endturn,ui,end-turn button icon,curved forward arrow inside a circle,1:1,FORMULA,generate
ui_heart,ui,HP heart icon in HUD,small red heart symbol,1:1,FORMULA,generate
thumbnail,card,16:9 marketplace cover,heroes and enemies on the diorama board with hand-lettered title "Tafelrunde",16:9,FORMULA,generate
favicon,card,1:1 marketplace icon,badger warrior hero head,1:1,FORMULA,generate
# STYLE FORMULA (byte-identical in every generation prompt): Soft stylized low-poly 3D with rounded, toy-like forms and warm painterly textures, resembling hand-carved miniature tabletop game pieces; chunky silhouettes with smooth beveled edges, no sharp corners. The diorama board sits in warm honey-wood and moss-green tones with soft parchment terrain; heroes are rendered in bold saturated colors that contrast the board so each class pops, enemies carry a deep crimson-red danger accent, pickups glow warm amber. Cozy tabletop lighting like sunlight across a game table, soft shadows, inviting board-game-night mood; high contrast, clean readable silhouettes, three-quarter isometric tabletop camera perspective across all assets.,,,,,,
# 3D concept images use the formula + "low-poly faceted geometry with softly rounded edges, three-quarter isometric view, single figure fully visible, centered, pure flat white background, no shadow, no ground plane" per stylization.md section 8.,,,,,,
# Key color for 2D UI assets: bright magenta #FF00FF (no pink/magenta in the formula's palette roles).,,,,,,
# SCOPE NOTE v1: characters ship as static textured meshes (no skeletal rig) with procedural Three.js animation (move-slide, attack lunge/scale-pulse, idle bob, hit-flash, death-fade) instead of the full Meshy rig pipeline - deliberate scope cut for the first playable slice, agreed with user ("eins nach dem anderen"). Rigging can be added in a later iteration.,,,,,,
# SCOPE NOTE v1: single mission, 2 hero classes, fixed 3-card hand per hero (Move/Attack/Special, always available - no deck/redraw meta yet). Enemy count and HP scale with player count at setup(). More missions and deckbuilding meta are planned follow-ups, not cut silently - agreed with user.,,,,,,
# Deployed game_id: c225d984-7ea4-4729-adcd-3d62df028821 / Live URL: https://dawn-bear-547.higgsfield.gg/,,,,,,
# Binary assets (7 GLBs, 7 UI PNGs, 1 ground texture, vendored three.js/GLTFLoader) are not committed in this repo - this workspace's egress policy blocks the asset CDN with 403 so they could not be downloaded locally (same limitation noted in game/design/assets.csv). All are packaged inside the deployed zip and verified serving 200 from the live site.,,,,,,
# KNOWN PLATFORM LIMITATION (found via live 2-tab testing): the Tier-1 rules-module kernel calls setup(players) the instant meta.minPlayers is reached and seats everyone who joins afterward as a spectator - it does not wait for more joins. With minPlayers:1 this means a SECOND real player can never be seated (deterministic, not a race): the very first "join" message locks the party at 1 regardless of how many friends are about to connect. So this deployed instance is reliably SOLO-ONLY right now even though logic.js's setup()/enemy-scaling already supports 2-4 players and was verified correct in isolation (see run_sim.mjs results below). Getting real multi-human co-op requires either a fixed minPlayers=N (breaks solo) or a Tier-2 custom server.js with an explicit host-controlled lobby/ready-up step - flagged to the user as the next iteration rather than silently shipping unreliable co-op.,,,,,,
# BALANCE NOTE: v1 first pass (waechter hp16/wildhueter hp10, raider dmg 2-3, board radius 3) had heroes wiped by round 3-5 against a naive greedy bot. Rebalanced to waechter hp22/wildhueter hp15, raider/archer dmg 1-2, captain dmg 2-4, board radius 4 (extra approach rounds) - re-simulated via run_sim.mjs (pure logic.js, no rendering) confirming heroes now survive well past first contact and enemy HP correctly depletes from attacks.,,,,,,
# --- v2 (multi-step cards, 2D comic sprites, per-unit HP bars, enemy move variety + telegraph) ---,,,,,,
# v2 card rework: each hero card is now a fixed STEP SEQUENCE (e.g. move-then-attack, or attack-then-shield) instead of one atomic action per card, matching the user's Sunderfolk-style request. 3 cards per class: waechter (ansturm/schildhieb/rueckzug), wildhueter (sprungschuss/sicherung/explosivpfeil). A step needing no player target (shield, splash-from-last-attack) auto-resolves; a step with zero legal targets auto-skips (fizzles) instead of soft-locking the hero - verified live against the deployed WS endpoint (ws_test2.js): played Ansturm's move step, the trailing attack step had no target in range and correctly fizzled with a log line instead of hanging.,,,,,,
# v2 enemy variety: each enemy type now has two situational moves (raider: Vorstoss vs Wutschlag; archer: Zielschuss vs Rueckzugsschuss kiting; captain: Wuchtschlag vs Wirbelangriff cleave) chosen by simple AI and stored as enemy.plannedMove BEFORE the enemy phase runs, so the client can show the enemy's upcoming move as a telegraph tag during the hero phase (per user's "Spielzuege werden immer angezeigt" request).,,,,,,
# v2 visual rework: heroes/enemies are now 2D comic-book sprites (thick ink outlines, flat cel-shading, magenta-keyed) rendered as camera-facing Three.js Sprites with a ground shadow ellipse, floating on top of the unchanged 3D low-poly diorama board/props - deliberate 2D-on-3D style split per user's explicit direction so characters read clearly against the board. The viewer's own hero gets an amber ring marker underfoot. Every unit (own hero + all enemies) has a live HTML-overlay HP bar + shield badge positioned via camera projection each frame.,,,,,,
# v2 new/replaced assets (11 nano_banana_2, comic-style formula, magenta #FF00FF key): hero_waechter, hero_wildhueter, enemy_pluenderer, enemy_bogenschuetze, enemy_hauptmann (now 2D sprites, replacing the v1 3D GLB character models) + 6 new card icons (card_waechter_ansturm/schildhieb/rueckzug, card_wildhueter_sprungschuss/sicherung/explosivpfeil, replacing the v1 5-card set). prop_rock.glb, prop_tree.glb, tex_ground.jpg and the vendor/utils files are reused unchanged from v1.,,,,,,
# v2 redeployed in place with game_id c225d984-7ea4-4729-adcd-3d62df028821; play URL unchanged (https://dawn-bear-547.higgsfield.gg/).,,,,,,
# v2 verified live: 0 console errors / 0 failed asset requests on a fresh room join (all 5 sprites + 6 cards + reused glb/texture/vendor resolved); WS state carries cardStep and plannedMove fields as designed; a raw-WebSocket test against the deployed server (bypassing the HTML client) played a real card and confirmed the fizzle-skip and turn-advance logic end to end.,,,,,,
# --- v3 (camera controls + poker-style card tray + combat animations) ---,,,,,,
# v3 fixes the user's reported issue that the fixed card tray covered board hexes and the board wasn't fully visible: card tray is now a collapsible poker-style panel (toggle button, CSS max-height transition) that auto-collapses whenever a step needs a target and restores afterward; camera got OrbitControls (drag to rotate, wheel/pinch to zoom, clamped polar angle) plus a larger default frustum so the whole radius-4 board fits without manual rotation. Tap-vs-drag gesture detection (movement/duration thresholds on pointerdown/pointerup) was added so OrbitControls drags are never misread as hex taps.,,,,,,
# v3 combat animations: attacking unit now does a real lunge-dash toward its target and back (separate offset layered on top of the tweened base position, not fed back into it, so it cannot desync from board state); enemies play a staggered weapon-swing gesture (rotation + squash) whenever the batched enemy phase resolves; hit reactions got a stronger flash + red color-tint pulse on top of the existing hit-flash so strikes/hits read clearly at a glance.,,,,,,
# v3 asset/vendor change: added vendor/OrbitControls.js (three@0.160.0 examples/jsm/controls) to the deployed bundle; all sprite/card/model/texture assets are unchanged from v2, reused as-is from the live deployment. index.html is the only changed source file.,,,,,,
# v3 redeployed in place with game_id c225d984-7ea4-4729-adcd-3d62df028821; play URL unchanged (https://dawn-bear-547.higgsfield.gg/).,,,,,,
# v3 verified live via Playwright against the deployed room: 0 console errors / 0 failed requests on join; #cardsPanel/#cardsToggle present with 3 cards rendered after starting solo; clicking the toggle correctly switches the panel's class between "" and "collapsed" and back; a drag-and-wheel gesture on the canvas (OrbitControls rotate+zoom) completed with no errors.,,,,,,
